Date,Time,Title,Entry,Team Size,Platforms,Gamemode
"March 15, 2023",11:00 PM,2v2 $100 GTD 1ND KILL RACE,$8,2,"['xbox', 'playstation', 'battle.net']",Best of 1
"March 15, 2023",11:20 PM,2v2 $50 GTD 1ND SND,$7.5,2,"['xbox', 'playstation', 'battle.net']",Best of 1
"March 16, 2023",12:00 AM,3v3 CODAGENT x ELECTRIFYSTEEL SND,$5,3,"['xbox', 'playstation', 'battle.net']",Best of 3
"March 16, 2023",12:30 AM,3v3 *HIGH ROLLER* MASTERS ONLY MWII SWITCHEROO | DM @CALLOFDUTYAGENT FOR FORM,$15,1,"['xbox', 'playstation', 'battle.net']",Best of 3
"March 16, 2023",12:30 AM,1v1 $20 GTD CONSOLE 1ND SND,$6,1,"['xbox', 'playstation', 'battle.net']",Best of 1
"March 16, 2023",1:30 AM,2v2 *NO MASTERS* MWII SND,$5,2,"['xbox', 'playstation', 'battle.net']",Best of 3
"March 16, 2023",2:30 AM,3v3 $75 GTD 1ND *NO SNIPES* SND,$7.5,3,"['xbox', 'playstation', 'battle.net']",Best of 1
"March 16, 2023",3:00 AM,3v3 *LATE NIGHT* VG SND SWITCHEROO | DM @CALLOFDUTYAGENT FOR FORM,$10,1,"['xbox', 'playstation', 'battle.net']",Best of 3
"March 16, 2023",3:00 AM,2v2 CONSOLE 1ND NOV/AM SND,$7,2,"['xbox', 'playstation', 'battle.net']",Best of 1
"March 16, 2023",3:30 AM,2v2 *DOLLAR ENTRY* 1ND SND,$1,2,"['xbox', 'playstation', 'battle.net']",Best of 1
"March 16, 2023",6:00 AM,1v1 CONSOLE 1ND SND,$4,1,"['xbox', 'playstation', 'battle.net']",Best of 1
"March 18, 2023",12:00 AM,4v4 ELECTRIFYSTEEL x CODAGENT HARDPOINT,$4,4,"['xbox', 'playstation', 'battle.net']",Best of 3
"March 18, 2023",2:00 AM,4v4 MWII SND DUO SWITCHEROO | DM @CALLOFDUTYAGENT FOR FORM,$10,2,"['xbox', 'playstation', 'battle.net']",Best of 3
"March 19, 2023",10:00 PM,4v4 CXP VARIANT DUO SWITCHEROO | DM @CXPCOD FOR FORM,$5,2,"['xbox', 'playstation', 'battle.net']",Best of 3
"March 20, 2023",11:30 PM,3v3 $600 $BOZE MONDAY PRESTIGE SND,$0,3,"['xbox', 'playstation', 'battle.net']",Best of 3
"March 26, 2023",12:00 AM,4v4 $400 STARTING POT PRESTIGE SWITCHEROO,$0,2,"['xbox', 'playstation', 'battle.net']",Best of 3
"March 26, 2023",7:00 PM,CXP IN SEASON OPEN #3 *MUST HAVE CXP TEAM PASS*,$0,4,"['xbox', 'playstation', 'battle.net']",Best of 3
"April 7, 2023",11:00 PM,4v4 CXP $100 FE VARIANT,$0,4,"['xbox', 'playstation', 'battle.net']",Best of 3
"March 15, 2023",9:22 PM,3v3 $15 FE HIMMELMATT EXPO ONLY SND,$0,3,"['xbox', 'playstation', 'battle.net']",Best of 1
"March 15, 2023",10:35 PM,3v3 $75 GTD 1ND SND,$7.5,3,"['xbox', 'playstation', 'battle.net']",Best of 1
